source_id	beginner_title_zh	beginner_question_zh	beginner_input_zh	beginner_output_zh	beginner_read_zh	beginner_warning_zh
4.1	确认哪些基因属于这个家族	哪些基因有足够证据被列入目标家族，哪些只是相似但证据不足？	每个材料的基因和蛋白序列，以及一组已知家族特征。	一张正式成员表和一张被排除候选表，每条记录都带判断依据。	先核对同一基因有没有重复，再看每个正式成员用了什么证据，最后查看被排除的原因。	相似不等于属于；没有被选中也不等于这个基因一定不存在。
4.2	查看家族成员之间的远近关系	这些家族成员在序列上彼此更接近谁，主要可以分成哪些分支？	上一项确认的家族成员蛋白序列，数量不能太少。	一张关系树，以及画树前把各条蛋白序列逐位置排齐的结果。	先看树上的名称能否和成员表一一对应，再看异常长枝，最后才解释各分支。	这张树描述的是家族基因之间的关系，不是物种之间的关系，也不能单独证明功能。
4.3	比较各材料拥有多少家族成员	每个材料在各个家族分组中有多少成员，组成是否明显不同？	已确认的家族成员、所属材料和家族分组。	一张数量表和一张颜色图，同时给出数量与材料内部比例。	先看实际数量，再看同一材料内部的组成比例；没有记录的格子要单独核对。	颜色深浅只表示当前表中的数量或比例，不能直接说明家族扩张、丢失或适应。
4.4	找出蛋白中最保守的片段	家族蛋白的核心片段中，哪些位置在不同成员之间最少变化？	已经可靠截取并逐位置排齐的核心蛋白片段。	一张图和对应数值表，显示组成蛋白的氨基酸在各位置是否一致。	先看每个位置有多少有效序列，再看很少变化的位置，最后核对空缺是否过多。	很少变化的位置可能重要，但仅凭这张图不能证明它就是功能位点或受到选择。
5.1	比较各家族分组的基因结构	不同家族分组的基因长度、蛋白长度和分段数量是否不同？	家族成员、每个基因的位置与分段记录，以及可靠的家族分组。	各分组的结构数值表和比较图。	先看每组包含多少不同材料，再比较中间水平和分布范围，最后查看异常值。	一个材料里很多基因不能当成很多不同材料；结构差异也不自动等于功能差异。
5.2	汇总各家族分组的典型结构	每个家族分组通常有多长、分成几段，变化范围有多大？	上一项得到的逐基因结构数据。	每组的样本数、中间水平、上下范围和缺失情况表。	先看样本数和缺失，再看中间水平与范围，不要只报一个平均数。	样本很少或主要来自同一材料时，汇总值不能代表整个分组。
5.3	判断家族分组之间是否真的不同	观察到的结构差异是否大到不太可能只是样本波动？	逐基因结构数据、预先确定的比较组和独立材料信息。	每一对分组的差异方向、差异大小和综合判断结果。	先看差异方向和大小，再看独立材料数，最后看综合判断结果。	判断把握低不等于完全没有差异；把握高也不等于差异具有生物学意义。
5.4	比较不同材料群体的基因结构	来自不同材料群体的家族基因，结构上是否呈现一致差别？	家族成员、基因结构和可靠的材料群体标签。	按群体分开的结构比较图和明细表。	先确认群体标签和材料数，再看同一指标在各群体的分布是否整体移动。	群体差异可能来自物种、组装或注释质量，不能直接归因于驯化或适应。
5.5	汇总各材料群体的典型结构	每个材料群体中，家族基因的典型结构和变化范围是什么？	上一项的逐基因结构数据和群体标签。	每个群体的样本数、中间水平、上下范围和缺失情况表。	先看每群体包含多少独立材料，再看中间水平和范围是否稳定。	同一材料的多个基因不能重复充当独立材料，样本不均衡时尤其要谨慎。
5.6	判断材料群体之间是否真的不同	群体间的结构差别是否超过随机波动，并且差别有多大？	逐基因结构数据、独立材料和预先确定的群体比较。	每一对群体的差异方向、大小和综合判断结果。	先看材料层面的差异大小，再看综合判断结果和每组样本数。	结果只能支持当前材料集合中的差异，不能自动推广到整个物种或群体。
6.1	把物种关系和成员有无相似性分开看	物种之间的亲缘关系，与各物种拥有哪些家族分组，是否呈现相似图形？	一棵可靠的物种关系树，以及各材料对每个家族分组的有无记录。	两张明确分开的图：一张是物种关系，另一张只按成员有无进行相似性归类。	先读图题确认对象，再核对材料名称，最后比较两张图是否一致或不一致。	按成员有无得到的相似性归类不是物种关系树，两者不能混称。
6.2	查看每组成员包含哪些基因	每个家族分组包含哪些材料和基因，是否存在多拷贝或缺失记录？	家族分组结果、成员表和冻结的材料清单。	一张分组明细表，列出每个材料在每组中的成员。	先看材料是否齐全，再看每组的成员数和重复情况，最后核对未分配记录。	表中没有成员只表示当前证据未检出，不能直接写成真实基因丢失。
6.3	判断分组结果是否可靠	哪些家族分组证据完整，哪些可能受注释缺失、异常拷贝或分组冲突影响？	分组明细、成员证据、材料质量信息和异常记录。	一张质量检查表，逐组列出通过、警告或不能判断的原因。	先看是否有关键材料缺失，再看异常拷贝和未分配比例，最后决定哪些组可用于后续分析。	质量分数只是整理证据的工具，不是学界公认的生物学等级，也不能替代人工复核。
6.4	统计常见成员和少见成员各有多少	在当前材料集合中，普遍存在、较常见、较少见和稀有的家族分组各有多少？	每组在每个材料中的有无记录，以及事先固定的分类界线。	按家族分组和按基因分别统计的数量与比例图。	先确认统计单位和材料总数，再看四类的数量和比例，两个统计口径不要混用。	分类只对当前材料集合和界线有效，换一批材料后结果可能改变。
6.5	观察增加材料后还能发现多少新成员	随着纳入的材料变多，家族分组总数是否逐渐稳定，还会发现多少新分组？	完整的材料与家族分组有无表，以及打乱材料顺序后重复计算的次数。	一条随材料数量增加而变化的曲线和每个点的波动范围。	先看曲线是否趋于平缓，再看多次打乱后的波动范围，最后检查材料加入顺序是否造成偏差。	曲线平缓只说明当前材料范围内逐渐稳定，不能证明自然界中再也没有新成员。
6.6	比较各材料的四类成员数量	每个材料拥有多少普遍、较常见、较少见和稀有成员？	上一项的四类分组结果和每个材料的成员记录。	按材料列出的四类成员数量表和图。	先看各材料总数是否接近，再看某一类是否在少数材料中异常偏高或偏低。	数量差异可能来自注释质量或材料范围，不能直接解释为生物学增减。
6.7	比较各材料的四类成员比例	排除总成员数差异后，各材料的四类组成比例是否不同？	每个材料的四类成员数量和用于计算比例的总成员数。	各材料内部四类比例表和图。	先核对每个材料的比例是否合计完整，再比较组成，不要把比例和实际数量混为一谈。	比例升高可能只是其他类别减少；必须同时查看实际数量。
6.8	查看四类成员落在哪些家族分组	普遍或稀有成员主要集中在哪些家族分组中？	四类成员标签和家族分组标签，二者必须能准确连接。	四类成员在各家族分组中的数量与比例表。	先看未分配成员，再看每个家族分组的总数，最后比较四类组成。	某个分组中稀有成员较多不等于该分组进化更快或更重要。
7.1	查看代表材料中的染色体位置	目标家族基因在一个代表材料的哪些染色体位置上？	代表材料的染色体长度、基因坐标和家族成员表。	一张按染色体排列的基因位置图。	先核对代表材料和染色体名称，再看位置是否有效，最后观察局部聚集。	看起来聚集不等于确实比其他区域更多；还需要染色体长度和可检测区域作为比较背景。
7.2	比较所有材料中的染色体位置	不同材料的家族基因位置，以及四类成员和家族分组的位置模式是否不同？	各材料的基因坐标、家族成员、四类标签和家族分组。	每个材料单独一幅的位置图和连接检查表。	先逐材料看坐标连接是否完整，再看同一材料内的分布；不同材料的坐标轴不能直接拼在一起比较。	位置图只描述当前分布，不能单独证明某一区域确实更多、与适应有关或存在作用机制。
7.3	统计每条染色体有多少家族基因	每个材料的每条染色体上有多少目标家族基因，按长度换算后是否仍不同？	有效基因坐标和每条染色体的长度。	逐材料逐染色体的实际基因数与按染色体长度换算后的基因数表。	实际数量和按长度换算后的数量要一起看，并检查很短的片段是否混入。	这些数量仍只描述当前数据；若要判断某一区域是否确实更多，还需先规定比较背景和统计对象。
8.1	查看每个材料的基因复制来源构成	一个材料中的家族基因主要由哪些复制方式产生，各占多少？	逐基因的复制来源分类、可靠外群和完整家族成员表。	每个材料的复制来源数量与比例图。	先看未能分类的比例，再看实际数量，最后看材料内部比例。	复制来源依赖外群、组装和注释质量；比例不能单独证明形成机制。
8.2	并列比较各材料的复制来源	不同材料的家族基因复制来源数量和组成是否不同？	所有材料的逐基因复制来源分类和统一分类集合。	各材料复制来源数量与比例的并列图。	先比较实际数量，再比较材料内部比例，并保留没有出现的类别和未分类项。	材料间差异可能由数据质量造成，不能直接归因于谱系演化。
8.3	比较各家族分组的复制来源	不同家族分组是否由不同复制方式贡献？	逐基因复制来源和家族分组标签。	各家族分组的复制来源数量与比例表和图。	先看每组总成员数和未分配项，再比较组成比例。	组成不同只能说明当前数据中的关联，不能证明某种复制方式造成了功能分化。
8.4	比较四类成员的复制来源	普遍成员和稀有成员的复制来源组成是否不同？	逐基因复制来源和四类成员标签。	四类成员的复制来源数量与比例图。	先看每类基因数，再看复制来源比例，同时核对分类缺失。	两种分类之间的对应关系不等于因果关系，也不能忽略材料和物种差异。
8.5	比较不同复制来源的基因结构	不同复制来源的基因在长度和分段数量上是否存在稳定差异？	基因结构、复制来源和独立材料信息。	各复制来源的结构比较图、汇总表和差异检验表。	先看独立材料数和差异大小，再看可信程度；不要把同一材料里的多个基因当独立重复。	结构差异可能受材料和注释质量影响，不能直接解释为复制方式造成。
8.6	查看染色体大片段是否保留相同基因顺序	同一材料或不同物种之间，是否存在含多个同序基因的对应染色体片段？	完整染色体坐标、全基因组蛋白相似关系和至少多个连续对应基因。	染色体内对应图、物种两两对应图和总览图。	先确认每条连线来自包含多个同序基因的片段，再看目标家族基因落在哪些片段中。	单个相似基因、复制基因对或位置接近都不能冒充大片段对应关系。
9.1	比较同组家族基因的两类编码变化	同一家族分组中的基因对，改变蛋白和不改变蛋白的编码变化比例如何？	可靠的基因对、逐位置排齐的蛋白与编码序列，以及家族分组。	逐基因对的两类变化率、比值和质量状态表。	先排除无法可靠计算的基因对，再看两类变化率，最后才看它们的比值。	比值大于一不能单独证明某种进化作用，尤其在不改变蛋白的变化很少时。
9.2	按材料比较家族基因的编码变化	不同材料中的家族基因对，编码变化速度是否不同？	逐基因对变化结果、材料标签和可靠分组。	按材料汇总的变化率与比值比较表和图。	先看每个材料有多少可用基因对，再看中间水平和范围，最后检查材料质量差异。	材料间差异可能来自基因对选择和注释质量，不能直接写成演化速度差异。
