requirement_id	requirement_type	implementation	test	tutorial_anchor	artifact	status_basis
Fig01	PDF_FIGURE	workflow/rules/phylogeny.smk;run_phylogeny.py	tests/test_release_contracts.py	fig01	results/03_phylogeny/Fig01_all_family_tree.pdf	RUNTIME_FIGURE_MANIFEST
Fig02	PDF_FIGURE	workflow/rules/family.smk;combine_family_evidence.py	tests/test_release_contracts.py	fig02	results/02_family/Fig02_subfamily_copy_number.pdf	RUNTIME_FIGURE_MANIFEST
Fig03	PDF_FIGURE	workflow/rules/phylogeny.smk;run_comparative_phylogeny.py	tests/test_workflow_scripts.py	fig03	results/03_phylogeny/Fig03_representative_external_tree.pdf	RUNTIME_FIGURE_MANIFEST
Fig04	PDF_FIGURE	workflow/rules/kaks.smk;run_kaks.py	tests/test_kaks_statistics.py	fig04	results/09_kaks/Fig04_kaks_by_subfamily.pdf	RUNTIME_FIGURE_MANIFEST
Fig05	PDF_FIGURE	workflow/rules/kaks.smk;run_kaks.py	tests/test_kaks_statistics.py	fig05	results/09_kaks/Fig05_kaks_by_group.pdf	RUNTIME_FIGURE_MANIFEST
Fig06	PDF_FIGURE	workflow/rules/kaks.smk;run_kaks.py	tests/test_kaks_statistics.py	fig06	results/09_kaks/Fig06_kaks_by_subfamily_group.pdf	RUNTIME_FIGURE_MANIFEST
Fig07	PDF_FIGURE	workflow/rules/gene_structure.smk;gene_structure_statistics.py	tests/test_gene_structure_statistics.py	fig07	results/04_gene_structure/Fig07_gene_structure_by_subfamily.pdf	RUNTIME_FIGURE_MANIFEST
Fig08	PDF_FIGURE	workflow/rules/gene_structure.smk;gene_structure_statistics.py	tests/test_gene_structure_statistics.py	fig08	results/04_gene_structure/Fig08_gene_structure_by_group.pdf	RUNTIME_FIGURE_MANIFEST
Fig09	PDF_FIGURE	workflow/rules/family.smk;sequence_logo_utils.py	tests/test_release_contracts.py	fig09	results/03_phylogeny/Fig09_core_domain_logo.pdf	RUNTIME_FIGURE_MANIFEST
Fig10	PDF_FIGURE	workflow/rules/pan_family.smk;parse_pan_family.py	tests/test_release_contracts.py	fig10	results/06_pan_family/Fig10_pan_class_dual_denominator.pdf	RUNTIME_FIGURE_MANIFEST
Fig11	PDF_FIGURE	workflow/rules/pan_family.smk;parse_pan_family.py	tests/test_release_contracts.py	fig11	results/06_pan_family/Fig11_hog_class_gene_count.pdf	RUNTIME_FIGURE_MANIFEST
Fig12	PDF_FIGURE	workflow/rules/pan_family.smk;parse_pan_family.py	tests/test_release_contracts.py	fig12	results/06_pan_family/Fig12_species_pan_class_counts.pdf	RUNTIME_FIGURE_MANIFEST
Fig13	PDF_FIGURE	workflow/rules/pan_family.smk;parse_pan_family.py	tests/test_release_contracts.py	fig13	results/06_pan_family/Fig13_species_pan_class_fractions.pdf	RUNTIME_FIGURE_MANIFEST
Fig14	PDF_FIGURE	workflow/rules/kaks.smk;run_kaks.py	tests/test_kaks_statistics.py	fig14	results/09_kaks/Fig14_kaks_by_pan_class.pdf	RUNTIME_FIGURE_MANIFEST
Fig15	PDF_FIGURE	workflow/rules/chromosome.smk;plot_chromosome_panclass.py	tests/test_release_contracts.py	fig15	results/07_chromosome/Fig15_chromosome_panclass_subfamily.pdf	RUNTIME_FIGURE_MANIFEST
Fig16	PDF_FIGURE	workflow/rules/duplication.smk;run_duplication.py	tests/test_workflow_scripts.py	fig16	results/08_duplication/Fig16_duplication_overall.pdf	RUNTIME_FIGURE_MANIFEST
Fig17	PDF_FIGURE	workflow/rules/duplication.smk;render_synteny_figures.py	tests/test_synteny_execution.py	fig17	results/08_duplication/Fig17_representative_intragenome_circos.pdf	RUNTIME_FIGURE_MANIFEST
Fig18	PDF_FIGURE	workflow/rules/duplication.smk;run_duplication.py	tests/test_workflow_scripts.py	fig18	results/08_duplication/Fig18_duplication_by_species.pdf	RUNTIME_FIGURE_MANIFEST
Fig19	PDF_FIGURE	workflow/rules/duplication.smk;run_duplication.py	tests/test_workflow_scripts.py	fig19	results/08_duplication/Fig19_duplication_by_subfamily.pdf	RUNTIME_FIGURE_MANIFEST
Fig20	PDF_FIGURE	workflow/rules/duplication.smk;run_duplication.py	tests/test_workflow_scripts.py	fig20	results/08_duplication/Fig20_duplication_by_pan_class.pdf	RUNTIME_FIGURE_MANIFEST
Fig21	PDF_FIGURE	workflow/rules/duplication.smk;render_synteny_figures.py	tests/test_synteny_execution.py	fig21	results/08_duplication/Fig21_inter_species_pairwise_synteny.pdf	RUNTIME_FIGURE_MANIFEST
Fig22	PDF_FIGURE	workflow/rules/duplication.smk;render_synteny_figures.py	tests/test_synteny_execution.py	fig22	results/08_duplication/Fig22_inter_species_synteny_overview.pdf	RUNTIME_FIGURE_MANIFEST
Fig23	PDF_FIGURE	workflow/rules/promoter.smk;parse_promoter_elements.py	tests/test_workflow_scripts.py	fig23	results/10_promoter/Fig23_promoter_four_major_classes.pdf	RUNTIME_FIGURE_MANIFEST
Fig24	PDF_FIGURE	workflow/rules/promoter.smk;parse_promoter_elements.py	tests/test_workflow_scripts.py	fig24	results/10_promoter/Fig24_promoter_subclasses.pdf	RUNTIME_FIGURE_MANIFEST
Fig25	PDF_FIGURE	workflow/rules/promoter.smk;parse_promoter_elements.py	tests/test_workflow_scripts.py	fig25	results/10_promoter/Fig25_promoter_by_subfamily.pdf	RUNTIME_FIGURE_MANIFEST
Fig26	PDF_FIGURE	workflow/rules/promoter.smk;parse_promoter_elements.py	tests/test_workflow_scripts.py	fig26	results/10_promoter/Fig26_promoter_by_group_subfamily.pdf	RUNTIME_FIGURE_MANIFEST
Fig27	PDF_FIGURE	workflow/rules/promoter.smk;parse_promoter_elements.py	tests/test_workflow_scripts.py	fig27	results/10_promoter/Fig27_promoter_by_species.pdf	RUNTIME_FIGURE_MANIFEST
Fig28	PDF_FIGURE	workflow/rules/promoter.smk;parse_promoter_elements.py	tests/test_workflow_scripts.py	fig28	results/10_promoter/Fig28_representative_gene_top_elements.pdf	RUNTIME_FIGURE_MANIFEST
Fig29	PDF_FIGURE	workflow/rules/expression.smk;expression_summary_utils.py	tests/test_release_contracts.py	fig29	results/11_expression/Fig29_all_family_expression_distribution.pdf	RUNTIME_FIGURE_MANIFEST
Fig30	PDF_FIGURE	workflow/rules/expression.smk;expression_summary_utils.py	tests/test_release_contracts.py	fig30	results/11_expression/Fig30_expression_by_pan_class.pdf	RUNTIME_FIGURE_MANIFEST
Fig31	PDF_FIGURE	workflow/rules/expression.smk;expression_summary_utils.py	tests/test_release_contracts.py	fig31	results/11_expression/Fig31_expression_by_pan_class_tissue.pdf	RUNTIME_FIGURE_MANIFEST
Fig32	PDF_FIGURE	workflow/rules/expression.smk;expression_summary_utils.py	tests/test_release_contracts.py	fig32	results/11_expression/Fig32_expression_by_group_subfamily.pdf	RUNTIME_FIGURE_MANIFEST
Fig33	PDF_FIGURE	workflow/rules/expression.smk;import_expression.py	tests/test_release_contracts.py	fig33	results/11_expression/Fig33_all_family_expression_heatmap.pdf	RUNTIME_FIGURE_MANIFEST
Fig34	PDF_FIGURE	workflow/rules/expression.smk;run_deseq2.R;integrate_expression_evidence.py	tests/test_expression_de_contract.py	fig34	results/11_expression/Fig34_stress_expression_and_comparison.pdf	RUNTIME_FIGURE_MANIFEST
MD01	MARKDOWN_ACCEPTANCE	input_audit.py;audit_id_chain.py	tests/test_id_chain_audit.py	qc-id-chain	results/00_qc/id_mapping_audit.tsv	B10_RUNTIME_GATE
MD02	MARKDOWN_ACCEPTANCE	input_audit.py	tests/test_provenance_contract.py	input-provenance	results/00_qc/input_audit.tsv	B10_RUNTIME_GATE
MD03	MARKDOWN_ACCEPTANCE	normalize_canonical.py	tests/test_workflow_scripts.py	canonical-transcript	results/01_normalized/canonical_transcript_provenance.tsv	B10_RUNTIME_GATE
MD04	MARKDOWN_ACCEPTANCE	parse_pan_family.py	tests/test_workflow_scripts.py	hog-node	results/06_pan_family/hog_node_provenance.tsv	B10_RUNTIME_GATE
MD05	MARKDOWN_ACCEPTANCE	parse_pan_family.py	tests/test_workflow_scripts.py	pan-class-thresholds	results/06_pan_family/pan_family_classification.tsv	B10_RUNTIME_GATE
MD06	MARKDOWN_ACCEPTANCE	parse_pan_family.py	tests/test_workflow_scripts.py	rarefaction	results/06_pan_family/pan_family_rarefaction_iterations.tsv	B10_RUNTIME_GATE
MD07	MARKDOWN_ACCEPTANCE	run_duplication.py;run_synteny.py	tests/test_synteny_contract.py	outgroup	results/08_duplication/synteny_pair_summary.tsv	B10_RUNTIME_GATE
MD08	MARKDOWN_ACCEPTANCE	run_kaks.py	tests/test_kaks_statistics.py	kaks-pair-source	results/09_kaks/kaks_pairs.tsv	B10_RUNTIME_GATE
MD09	MARKDOWN_ACCEPTANCE	extract_promoters.py	tests/test_workflow_scripts.py	promoter-coordinates	results/10_promoter/promoter_coordinates.tsv	B10_RUNTIME_GATE
MD10	MARKDOWN_ACCEPTANCE	run_fimo.py	tests/test_workflow_scripts.py	motif-version	results/10_promoter/promoter_elements.tsv	B10_RUNTIME_GATE
MD11	MARKDOWN_ACCEPTANCE	audit_expression_datasets.py	tests/test_expression_de_contract.py	rnaseq-design	results/11_expression/de_contrast_audit.tsv	B10_RUNTIME_GATE
MD12	MARKDOWN_ACCEPTANCE	combine_family_evidence.py	tests/test_workflow_scripts.py	family-candidates	results/02_family/family_candidates_rejected.tsv	B10_RUNTIME_GATE
MD13	MARKDOWN_ACCEPTANCE	parse_pan_family.py	tests/test_workflow_scripts.py	orthofinder-qc	results/06_pan_family/unassigned_family_members.tsv	B10_RUNTIME_GATE
MD14	MARKDOWN_ACCEPTANCE	extract_gene_structure.py	tests/test_gene_structure_statistics.py	gene-structure-qc	results/04_gene_structure/gene_structure_statistics_qc.tsv	B10_RUNTIME_GATE
MD15	MARKDOWN_ACCEPTANCE	run_duplication.py	tests/test_workflow_scripts.py	duplication-qc	results/08_duplication/duplication_mode.tsv	B10_RUNTIME_GATE
MD16	MARKDOWN_ACCEPTANCE	run_kaks.py	tests/test_kaks_statistics.py	kaks-qc	results/09_kaks/kaks_pairs.tsv	B10_RUNTIME_GATE
MD17	MARKDOWN_ACCEPTANCE	extract_promoters.py	tests/test_workflow_scripts.py	promoter-qc	results/10_promoter/promoter_coordinates.tsv	B10_RUNTIME_GATE
MD18	MARKDOWN_ACCEPTANCE	run_featurecounts.py;run_deseq2.R	tests/test_expression_de_contract.py	expression-qc	results/11_expression/expression_qc_summary.tsv	B10_RUNTIME_GATE
MD19	MARKDOWN_ACCEPTANCE	validate_deliverable_contract.py	tests/test_deliverable_validator.py	figure-contract	results/report/figure_manifest.tsv	B10_RUNTIME_GATE
MD20	MARKDOWN_ACCEPTANCE	tsv_to_xlsx.py;build_report.py	tests/test_release_contracts.py	table-contract	results/report/table_manifest.tsv	B10_RUNTIME_GATE
MD21	MARKDOWN_ACCEPTANCE	gene_structure_statistics.py;kaks_statistics.py;run_deseq2.R	tests/test_gene_structure_statistics.py;tests/test_kaks_statistics.py;tests/test_expression_de_contract.py	statistics	results/report/requirement_traceability.tsv	B10_RUNTIME_GATE
MD22	MARKDOWN_ACCEPTANCE	parse_promoter_elements.py;expression_summary_utils.py	tests/test_release_contracts.py	heatmap-raw-scaled	results/report/figure_manifest.tsv	B10_RUNTIME_GATE
MD23	MARKDOWN_ACCEPTANCE	config.py;parse_pan_family.py	tests/test_workflow_scripts.py	random-seed	results/report/provenance.json	B10_RUNTIME_GATE
MD24	MARKDOWN_ACCEPTANCE	examples/toy_complete	tests/test_release_contracts.py	clean-run	results/report/result_manifest.tsv	B10_RUNTIME_GATE
MD25	MARKDOWN_ACCEPTANCE	panfamflow resume	tests/test_release_contracts.py	nothing-to-do	results/report/provenance.json	B10_RUNTIME_GATE
MD26	MARKDOWN_ACCEPTANCE	Snakemake dependency DAG	tests/test_release_contracts.py	local-recovery	results/report/provenance.json	B10_RUNTIME_GATE
MD27	MARKDOWN_ACCEPTANCE	build_report.py	tests/test_provenance_contract.py	provenance-bundle	results/report/provenance.json	B10_RUNTIME_GATE
