stable_id	A_Control_R1	A_Control_R2	A_Salt_R1	A_Salt_R2	B_Mock_R1	B_Mock_R2	B_Infected_R1	B_Infected_R2
SpA__Gene01	145	150	725	750	0	0	0	0
SpA__Gene02	185	190	925	950	0	0	0	0
SpA__Gene03	225	230	45	46	0	0	0	0
SpA__Gene04	265	270	265	270	0	0	0	0
SpA__Gene05	305	310	305	310	0	0	0	0
SpA__Gene06	345	350	345	350	0	0	0	0
SpB__Gene01	0	0	0	0	145	150	580	600
SpB__Gene02	0	0	0	0	185	190	740	760
SpB__Gene03	0	0	0	0	225	230	56	58
SpB__Gene04	0	0	0	0	265	270	265	270
SpB__Gene05	0	0	0	0	305	310	305	310
SpB__Gene06	0	0	0	0	345	350	345	350
SpC__Gene01	0	0	0	0	0	0	0	0
SpC__Gene02	0	0	0	0	0	0	0	0
SpC__Gene03	0	0	0	0	0	0	0	0
SpC__Gene04	0	0	0	0	0	0	0	0
SpC__Gene05	0	0	0	0	0	0	0	0
SpC__Gene06	0	0	0	0	0	0	0	0
SpD__Gene01	0	0	0	0	0	0	0	0
SpD__Gene02	0	0	0	0	0	0	0	0
SpD__Gene03	0	0	0	0	0	0	0	0
SpD__Gene04	0	0	0	0	0	0	0	0
SpD__Gene05	0	0	0	0	0	0	0	0
SpD__Gene06	0	0	0	0	0	0	0	0
