stable_id	element	major_class	subclass	source
SpA__Gene01	ABRE	Stress_response	Abscisic_acid_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpA__Gene01	MBS	Stress_response	Drought_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpA__Gene02	MBS	Stress_response	Drought_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpA__Gene02	W-box	Stress_response	Pathogen_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpA__Gene02	G-box	Light_response	Light_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpA__Gene03	W-box	Stress_response	Pathogen_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpA__Gene04	G-box	Light_response	Light_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpA__Gene04	CAT-box	Growth_development	Meristem_expression	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpA__Gene05	CAT-box	Growth_development	Meristem_expression	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpA__Gene05	ABRE	Stress_response	Abscisic_acid_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpA__Gene05	MBS	Stress_response	Drought_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpA__Gene06	ABRE	Stress_response	Abscisic_acid_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpB__Gene01	ABRE	Stress_response	Abscisic_acid_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpB__Gene01	MBS	Stress_response	Drought_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpB__Gene02	MBS	Stress_response	Drought_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpB__Gene02	W-box	Stress_response	Pathogen_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpB__Gene02	G-box	Light_response	Light_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpB__Gene03	W-box	Stress_response	Pathogen_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpB__Gene04	G-box	Light_response	Light_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpB__Gene04	CAT-box	Growth_development	Meristem_expression	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpB__Gene05	CAT-box	Growth_development	Meristem_expression	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpB__Gene05	ABRE	Stress_response	Abscisic_acid_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpB__Gene05	MBS	Stress_response	Drought_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpB__Gene06	ABRE	Stress_response	Abscisic_acid_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpC__Gene01	ABRE	Stress_response	Abscisic_acid_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpC__Gene01	MBS	Stress_response	Drought_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpC__Gene02	MBS	Stress_response	Drought_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpC__Gene02	W-box	Stress_response	Pathogen_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpC__Gene02	G-box	Light_response	Light_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpC__Gene03	W-box	Stress_response	Pathogen_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpC__Gene04	G-box	Light_response	Light_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpC__Gene04	CAT-box	Growth_development	Meristem_expression	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpC__Gene05	CAT-box	Growth_development	Meristem_expression	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpC__Gene05	ABRE	Stress_response	Abscisic_acid_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpC__Gene05	MBS	Stress_response	Drought_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpC__Gene06	ABRE	Stress_response	Abscisic_acid_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpD__Gene01	ABRE	Stress_response	Abscisic_acid_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpD__Gene01	MBS	Stress_response	Drought_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpD__Gene02	MBS	Stress_response	Drought_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpD__Gene02	W-box	Stress_response	Pathogen_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpD__Gene02	G-box	Light_response	Light_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpD__Gene03	W-box	Stress_response	Pathogen_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpD__Gene04	G-box	Light_response	Light_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpD__Gene04	CAT-box	Growth_development	Meristem_expression	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpD__Gene05	CAT-box	Growth_development	Meristem_expression	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpD__Gene05	ABRE	Stress_response	Abscisic_acid_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpD__Gene05	MBS	Stress_response	Drought_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
SpD__Gene06	ABRE	Stress_response	Abscisic_acid_response	SYNTHETIC_PLANTCARE_LIKE_FIXTURE
