source_id	concept_zh	why_zh	input_headers_zh	input_row_zh	operation_zh	visual_type	visual_title_zh	x_axis_zh	y_axis_zh	legend_zh	output_headers_zh	output_rows_zh	plot_values	plot_colors	plot_value_label_zh	reading_question_zh	reading_answer_zh	normal_zh	stop_zh	next_zh
4.1	家族特征是目标家族成员共同保留的关键片段，只有相似而缺少关键片段的基因仍是候选。	先把可靠成员和相似候选分开，后面所有关系、结构和位置比较才不会从错误名单开始。	候选基因｜所属材料｜相似程度｜关键片段	基因甲｜材料甲｜较高｜完整	逐个核对候选的相似程度和关键片段，把判断写成保留、待复核或排除，且不删除任何候选记录。	decision	候选成员判断流程	从候选到正式名单	判断依据是否完整	绿色为保留，橙色为待复核，红色为排除	候选基因｜判断｜依据	基因甲｜保留｜关键片段完整；基因乙｜待复核｜关键片段不完整；基因丙｜排除｜只有局部相似	1｜0.5｜0	green｜orange｜red	成员判断分值	哪一个候选现在可以进入后续比较？	基因甲可以进入，因为关键片段完整；基因乙要先复核，基因丙暂不进入。	每个候选都有唯一判断和可追查依据，正式名单中没有重复名称。	同一候选出现两个互相冲突的判断，或关键片段记录为空时先暂停。	下一步只把保留成员送入成员关系比较，同时保存待复核和排除表。
4.2	成员关系图把序列差异较小的成员画得更靠近，分叉表示它们从共同来源逐步分开。	看清成员之间的远近可帮助划分稳定分支，也能发现名称错配或异常长分支。	成员名称｜所属材料｜排齐长度｜空缺比例	基因甲｜材料甲｜二百四十｜百分之二	先确认成员名单一一对应，再把各条蛋白逐位置排齐，并依据差异建立带支持数值的分叉图。	tree	家族成员关系示意	成员名称	序列差异距离	分支旁数字表示当前分叉的稳定程度	成员｜最近成员｜分支支持｜备注	基因甲｜基因乙｜九十二｜同一分支；基因丙｜基因丁｜八十八｜另一分支	92｜88	blue｜green	分支支持数值	基因甲和谁在图上最接近？	基因甲和基因乙最近，但这只说明当前序列更相近，不能直接说明功能相同。	树上名称与正式成员表完全一致，多数主要分叉有稳定支持，且没有孤立异常长枝。	出现名单之外的名称、空缺比例过高或单条分支远长于其他成员时先暂停。	下一步给每个可靠成员加上家族分组，比较不同材料中的成员数量。
4.3	数量表示某一格有几个成员，比例表示这些成员占该材料全部家族成员的多少。	同时看数量和比例，才能区分材料本身成员多与某个家族分组相对更突出这两种情况。	所属材料｜家族分组｜成员数量｜材料总成员数	材料甲｜甲组｜四｜十	按材料和家族分组补齐所有组合，先计算实际数量，再用材料总成员数换算材料内部比例。	matrix	材料与家族分组成员分布	材料	家族分组	颜色越深表示当前格数量越多，空白格也必须有记录	材料｜家族分组｜数量｜材料内比例	材料甲｜甲组｜四｜百分之四十；材料甲｜乙组｜六｜百分之六十；材料乙｜甲组｜二｜百分之二十五	4｜6｜2	blue｜blue｜blue	成员数量	材料甲中哪个分组占比更高？	乙组占百分之六十，高于甲组的百分之四十；这不代表乙组一定发生扩增。	每个材料与分组组合都有数值，数量之和等于该材料正式成员总数。	某材料各组数量之和对不上正式成员表，或空白格没有说明时先暂停。	下一步从完整蛋白中截取可靠核心片段，查看哪些位置最少变化。
4.4	逐位置保守表示同一位置在很多成员中都出现相同的蛋白组成字母，而不是整条蛋白完全相同。	找出变化很少的位置可帮助描述家族共同特征，也能提示需要实验验证的重点区域。	成员｜片段起点｜片段终点｜有效位置数	基因甲｜二十一｜八十｜六十	只使用边界可靠的核心片段，逐位置排齐后统计每个位置最常见组成字母和有效成员数。	sequence	核心片段逐位置一致程度	片段位置	一致程度	每行色块旁直接写出位置、最常见字母、一致比例和有效成员数，色块只帮助区分记录	位置｜最常见字母｜一致比例｜有效成员数	二十五｜甲｜百分之九十五｜二十；二十六｜乙｜百分之六十｜二十；二十七｜甲｜百分之九十｜十九	95｜60｜90	blue｜blue｜blue	一致比例（百分数）	哪个位置在教学数据中最一致？	位置二十五最一致，比例为百分之九十五；仍不能仅凭此图认定它是功能位点。	多数位置有足够有效成员，片段边界一致，且高一致位置在数值表中可复核。	不同成员截取边界不一致、空缺过多或有效成员数突然下降时先暂停。	下一步把可靠成员与统一基因注释连接，进入基因内部结构比较。
5.1	基因内部结构可用总长度、蛋白长度和保留片段数量描述，不同指标回答的问题不同。	按家族分组比较结构，可发现整体差异和异常成员，也能暴露不完整的基因记录。	基因｜家族分组｜基因长度｜片段数	基因甲｜甲组｜三千二百｜五	逐基因统计三个结构指标，再按家族分组画出每个值和中间位置，保留材料身份。	distribution	家族分组的基因结构分布	家族分组	结构指标数值	每个圆点是一条基因记录，粗线表示组内中间位置	分组｜材料数｜中间基因长度｜中间片段数	甲组｜六｜三千一百｜五；乙组｜五｜四千二百｜七	3100｜4200	blue｜green	中间长度	哪一组的典型基因长度更长？	乙组的中间基因长度更长，但还要检查材料数和异常记录后再解释。	每组包含多个材料，单个基因值与汇总位置都能在明细表中找到。	某组只有一个材料、结构值大量缺失或异常值来自截断记录时先暂停。	下一步把逐基因结构整理成每个家族分组的典型值和变化范围。
5.2	中间值是排序后位于中间的观察值，比单纯平均更不容易被极端值拉动。	汇总典型值、上下范围和缺失数，能让读者先判断数据是否稳定，再比较分组。	家族分组｜材料｜基因长度｜是否缺失	甲组｜材料甲｜三千二百｜否	按分组统计不同材料数、中间值、较低四分之一位置、较高四分之一位置和缺失数。	bars	家族分组结构汇总	家族分组	典型结构数值	柱高表示中间值，细线表示中间一半记录的范围	分组｜材料数｜中间长度｜中间一半范围	甲组｜六｜三千一百｜二千八百至三千五百；乙组｜五｜四千二百｜三千九百至四千七百	3100｜4200	blue｜green	中间长度	哪一组的变化范围更宽？	乙组范围为八百，甲组为七百，教学数据中乙组稍宽。	汇总表同时报告材料数、典型值、范围和缺失，不只给一个平均数。	材料数与逐基因表不一致，或缺失记录被当作零参与汇总时先暂停。	下一步检验甲组和乙组的结构差异是否超过当前材料间的自然波动。
5.3	两组比较要同时报告独立材料数、效应方向与大小、多项比较后错误概率和质量状态；错误概率越小，当前差别由假发现造成的风险越低。	把结构差异与材料间波动一起考虑，可避免把偶然起伏写成稳定分组差别。	比较指标｜第一组｜第二组｜独立材料数	基因长度｜甲组｜乙组｜十一	先按材料汇总，计算方向和效应大小；再把同批多个比较一起控制假发现风险，质量通过且错误概率不超过零点零五才允许解释组间差别。	test	家族分组结构两两比较	结构指标	效应方向与大小	每行写出独立材料数、效应、多项比较后错误概率、质量状态和是否允许解释	指标｜比较｜独立材料数｜效应方向与大小｜多项比较后错误概率｜质量状态｜允许解释	基因长度｜甲组对乙组｜十一｜乙组高一千一百｜零点零二｜通过｜可以描述组间差别；片段数｜甲组对乙组｜十一｜乙组多二｜零点一八｜通过｜只描述方向不下统计结论	0.02｜0.18	green｜grey	多项比较后错误概率	哪一个指标达到预先写明的解释条件？	基因长度的错误概率为零点零二且质量通过，可以描述组间差别；片段数为零点一八，只能描述方向。	比较单位是独立材料，效应、错误概率、质量状态和允许解释结论可逐行核对。	把同一材料的多个基因当独立材料、任一组少于两个材料或质量未通过时先暂停。	下一步换成材料群体标签，查看群体之间是否出现相似结构差别。
5.4	材料群体是按来源或育种背景预先定义的一组材料，不能由本次结果临时重分。	按群体查看结构，可描述不同来源材料是否整体偏向不同范围，同时提示组装质量等替代原因。	基因｜材料｜材料群体｜片段数	基因甲｜材料甲｜群体甲｜五	先核对每个材料只有一个群体标签，再按群体展示逐材料结构值和中间位置。	distribution	材料群体的基因结构分布	材料群体	片段数量	圆点表示材料内典型值，横线表示群体中间位置	群体｜独立材料数｜中间片段数｜范围	群体甲｜七｜五｜四至六；群体乙｜六｜七｜五至八	5｜7	blue｜green	中间片段数	教学数据中哪个群体的典型片段数更多？	群体乙的中间片段数为七，高于群体甲的五，但不能直接归因于来源差异。	群体标签来源清楚，每个圆点代表一个材料，且异常材料可回查。	同一材料被赋予多个群体、群体与物种完全重合或异常值集中于低质量记录时先暂停。	下一步汇总每个材料群体的典型结构和变化范围。
5.5	群体汇总把许多逐材料记录压缩成材料数、典型值和范围，不能省略数据完整性。	先看群体内稳定程度，可判断后面的群体比较是否有足够基础。	材料群体｜材料｜蛋白长度｜记录状态	群体甲｜材料甲｜三百八十｜完整	按群体统计独立材料数、蛋白长度中间值、中间一半范围和缺失材料数。	bars	材料群体结构概况	材料群体	蛋白长度	柱高表示中间值，线段表示中间一半材料范围	群体｜材料数｜中间蛋白长度｜缺失材料数	群体甲｜七｜三百八十｜零；群体乙｜六｜四百二十｜一	380｜420	blue｜green	中间片段长度	哪一个群体需要先处理缺失问题？	群体乙有一个缺失材料，应先查明原因再进行正式比较。	每个群体的材料数与标签表一致，缺失被单独计数且没有用零替代。	任一群体大部分材料缺失，或汇总范围无法从逐材料值重算时先暂停。	下一步在材料层面进行群体之间的成对结构比较。
5.6	群体两两比较要把两个群体的独立材料数、效应方向与大小、多项比较后错误概率和质量状态放在同一行；错误概率越小，当前差别由假发现造成的风险越低。	正式比较能把差值大小、材料波动和比较次数放在同一判断框架里。	结构指标｜群体甲材料数｜群体乙材料数｜比较方向	蛋白长度｜七｜六｜群体乙减群体甲	先确认比较方向和独立材料数，再计算效应；质量通过且多项比较后错误概率不超过零点零五才允许解释群体差别。	test	材料群体结构两两比较	结构指标	效应方向与大小	每行写出两群体独立材料数、多项比较后错误概率、质量状态和是否允许解释	指标｜两群体独立材料数｜效应方向与大小｜多项比较后错误概率｜质量状态｜允许解释	蛋白长度｜七对六｜群体乙高四十｜零点一二｜通过｜只描述方向不下统计结论；片段数｜七对六｜群体乙多二｜零点零三｜通过｜可以描述群体差别	0.12｜0.03	grey｜green	多项比较后错误概率	两个指标中哪一个达到解释条件？	片段数的错误概率为零点零三且质量通过，可以描述群体差别；蛋白长度为零点一二，只描述方向。	比较方向预先写明，独立材料数、效应、错误概率和解释许可均可复核。	比较方向前后不一致、任一群体材料太少、质量未通过或群体标签与物种无法区分时先暂停。	下一步转向成员有无分析，比较材料关系与家族成员分布是否一致。
