dataset_id	sample_id	matrix_column	tissue_code	tissue	biological_replicate	library_role	include	reference_version	official_url
GSE229334	GSM7158938	Input1_A1_1	A1	root tip	1	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158938
GSE229334	GSM7158939	Input1_A1_2	A1	root tip	2	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158939
GSE229334	GSM7158940	Input1_A1_3	A1	root tip	3	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158940
GSE229334	GSM7158941	Input1_A2_1	A2	whole root	1	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158941
GSE229334	GSM7158942	Input1_A2_2	A2	whole root	2	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158942
GSE229334	GSM7158943	Input1_A2_3	A2	whole root	3	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158943
GSE229334	GSM7158944	Input1_A3_1	A3	culm and leaves	1	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158944
GSE229334	GSM7158945	Input1_A3_2	A3	culm and leaves	2	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158945
GSE229334	GSM7158946	Input1_A3_3	A3	culm and leaves	3	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158946
GSE229334	GSM7158947	Input1_A4_1	A4	stem	1	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158947
GSE229334	GSM7158948	Input1_A4_2	A4	stem	2	RNA_SEQ_INPUT	TRUE	Oryza_sativa.IRGSP-1.0.55	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7158948
