dataset_id	study_accession	sample_id	run_id	file_role	url	md5	bytes	library_layout	ena_secondary_sample	biosample_accession	experiment_accession	source_url	fetched_at_utc	download_status
GSE101734	SRP113286	GSM2714232	SRR5856927	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/007/SRR5856927/SRR5856927_1.fastq.gz	232809e9fb55d4a3ad0bdcc729087488	1575157578	PAIRED	SRS2374914	SAMN07375250	SRX3025831	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714232	SRR5856927	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/007/SRR5856927/SRR5856927_2.fastq.gz	12c0c179578b7128be09334e72b992a9	1497025934	PAIRED	SRS2374914	SAMN07375250	SRX3025831	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714233	SRR5856928	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/008/SRR5856928/SRR5856928_1.fastq.gz	56d12ff4b2f823cec6c297a85c5e6fc8	1472966236	PAIRED	SRS2374915	SAMN07375264	SRX3025832	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714233	SRR5856928	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/008/SRR5856928/SRR5856928_2.fastq.gz	41c8a3d635250bd1baeb93de107015ef	1402874183	PAIRED	SRS2374915	SAMN07375264	SRX3025832	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714234	SRR5856929	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/009/SRR5856929/SRR5856929_1.fastq.gz	81c2b0fa7a60bc25a589896fccee7d8d	2171713936	PAIRED	SRS2374916	SAMN07375263	SRX3025833	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714234	SRR5856929	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/009/SRR5856929/SRR5856929_2.fastq.gz	07c04d85860b160e96a25040730442c4	2036973142	PAIRED	SRS2374916	SAMN07375263	SRX3025833	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714235	SRR5856930	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/000/SRR5856930/SRR5856930_1.fastq.gz	1cc18b284332f61641f698c0444dcadc	1684948987	PAIRED	SRS2374917	SAMN07375262	SRX3025834	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714235	SRR5856930	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/000/SRR5856930/SRR5856930_2.fastq.gz	13fd78152aa5690adab1c73d9c9c48fe	1589263700	PAIRED	SRS2374917	SAMN07375262	SRX3025834	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714236	SRR5856931	paired_1	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/001/SRR5856931/SRR5856931_1.fastq.gz	8ee1fd63725bb9d4d83a0ff1c050e154	1867060040	PAIRED	SRS2374918	SAMN07375261	SRX3025835	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
GSE101734	SRP113286	GSM2714236	SRR5856931	paired_2	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR585/001/SRR5856931/SRR5856931_2.fastq.gz	3f9841ce89227f0352f27b768031774e	1750541977	PAIRED	SRS2374918	SAMN07375261	SRX3025835	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP113286&result=read_run&fields=run_accession%2Csecondary_sample_accession%2Csample_accession%2Cexperiment_accession%2Clibrary_layout%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv	2026-08-20T23:41:55+00:00	CANDIDATE
