figure_id	module	stem	source_table	activation	missing_input_status	tutorial_anchor	scientific_boundary
Fig01	phylogeny	results/03_phylogeny/Fig01_all_family_tree	results/03_phylogeny/family_tree_tip_annotations.tsv	pdf_md_complete	BLOCKED_INPUT	fig01	Family gene tree is not a species tree.
Fig02	family	results/02_family/Fig02_subfamily_copy_number	results/02_family/family_copy_number_by_species_subfamily.tsv	pdf_md_complete	BLOCKED_INPUT	fig02	Zero means not detected by the current member evidence, not validated loss.
Fig03	phylogeny	results/03_phylogeny/Fig03_representative_external_tree	results/03_phylogeny/comparative_panel_selection.tsv	comparative_panel.enabled	NOT_REQUESTED	fig03	External species are excluded from pan-family occupancy denominators.
Fig04	kaks	results/09_kaks/Fig04_kaks_by_subfamily	results/09_kaks/kaks_by_subfamily.tsv	pdf_md_complete	BLOCKED_INPUT	fig04	Pairwise Ka/Ks does not prove positive selection.
Fig05	kaks	results/09_kaks/Fig05_kaks_by_group	results/09_kaks/kaks_by_group.tsv	pdf_md_complete	BLOCKED_INPUT	fig05	Group association is not adaptation or domestication causality.
Fig06	kaks	results/09_kaks/Fig06_kaks_by_subfamily_group	results/09_kaks/kaks_by_subfamily_group.tsv	pdf_md_complete	BLOCKED_INPUT	fig06	Inference uses cluster-level independent units, not all raw pairs.
Fig07	gene_structure	results/04_gene_structure/Fig07_gene_structure_by_subfamily	results/04_gene_structure/gene_structure_by_subfamily.tsv	pdf_md_complete	BLOCKED_INPUT	fig07	Species-level units are used; genes are not biological replicates.
Fig08	gene_structure	results/04_gene_structure/Fig08_gene_structure_by_group	results/04_gene_structure/gene_structure_by_group.tsv	pdf_md_complete	BLOCKED_INPUT	fig08	Uncontrolled population composition cannot support causal claims.
Fig09	phylogeny	results/03_phylogeny/Fig09_core_domain_logo	results/03_phylogeny/family_domain_segments.tsv	domain_logo.enabled	NOT_REQUESTED	fig09	Logo shows aligned amino-acid conservation, not validated structure or function.
Fig10	pan_family	results/06_pan_family/Fig10_pan_class_dual_denominator	results/06_pan_family/pan_family_class_summary.tsv	pdf_md_complete	BLOCKED_INPUT	fig10	HOG and gene denominators are distinct and must not be merged.
Fig11	pan_family	results/06_pan_family/Fig11_hog_class_gene_count	results/06_pan_family/pan_family_hog_gene_counts.tsv	pdf_md_complete	BLOCKED_INPUT	fig11	HOG quality and occupancy remain visible beside gene count.
Fig12	pan_family	results/06_pan_family/Fig12_species_pan_class_counts	results/06_pan_family/pan_family_species_class_summary.tsv	pdf_md_complete	BLOCKED_INPUT	fig12	Gene and HOG counts are separate measures.
Fig13	pan_family	results/06_pan_family/Fig13_species_pan_class_fractions	results/06_pan_family/pan_family_species_class_summary.tsv	pdf_md_complete	BLOCKED_INPUT	fig13	Fractions are interpreted with their absolute denominators.
Fig14	kaks	results/09_kaks/Fig14_kaks_by_pan_class	results/09_kaks/kaks_by_pan_class.tsv	pdf_md_complete	BLOCKED_INPUT	fig14	Higher pairwise Ka/Ks is not proof of positive selection.
Fig15	chromosome	results/07_chromosome/Fig15_chromosome_panclass_subfamily	results/07_chromosome/chromosome_distribution_annotated.tsv	pdf_md_complete	BLOCKED_INPUT	fig15	Chromosomes from different species are not placed on one physical coordinate axis.
Fig16	duplication	results/08_duplication/Fig16_duplication_overall	results/08_duplication/duplication_mode_overall.tsv	pdf_md_complete	BLOCKED_INPUT	fig16	Conflicts and unassigned genes remain in the denominator audit.
Fig17	duplication	results/08_duplication/Fig17_representative_intragenome_circos	results/08_duplication/synteny_blocks_intra.tsv	synteny.enabled	NOT_REQUESTED	fig17	Family duplication pairs cannot substitute for whole-genome synteny blocks.
Fig18	duplication	results/08_duplication/Fig18_duplication_by_species	results/08_duplication/duplication_stratified_summary.tsv	pdf_md_complete	BLOCKED_INPUT	fig18	Cross-species patterns depend on outgroup, assembly and annotation quality.
Fig19	duplication	results/08_duplication/Fig19_duplication_by_subfamily	results/08_duplication/duplication_stratified_summary.tsv	pdf_md_complete	BLOCKED_INPUT	fig19	Descriptive association does not show that a mode caused a subfamily.
Fig20	duplication	results/08_duplication/Fig20_duplication_by_pan_class	results/08_duplication/duplication_stratified_summary.tsv	pdf_md_complete	BLOCKED_INPUT	fig20	This is a gene-level denominator and does not establish causal direction.
Fig21	duplication	results/08_duplication/Fig21_inter_species_pairwise_synteny	results/08_duplication/synteny_blocks_inter.tsv	synteny.enabled	NOT_REQUESTED	fig21	Only audited whole-genome anchors and blocks are drawn as syntenic links.
Fig22	duplication	results/08_duplication/Fig22_inter_species_synteny_overview	results/08_duplication/synteny_pair_summary.tsv	synteny.enabled	NOT_REQUESTED	fig22	Similarity alone is not synteny evidence.
Fig23	promoter	results/10_promoter/Fig23_promoter_four_major_classes	results/10_promoter/promoter_major_class_summary.tsv	pdf_md_complete	BLOCKED_INPUT	fig23	Hit composition does not quantify regulatory contribution.
Fig24	promoter	results/10_promoter/Fig24_promoter_subclasses	results/10_promoter/promoter_subclass_summary.tsv	pdf_md_complete	BLOCKED_INPUT	fig24	Unmapped motifs remain explicit instead of being discarded.
Fig25	promoter	results/10_promoter/Fig25_promoter_by_subfamily	results/10_promoter/promoter_heatmap_subfamily.tsv	pdf_md_complete	BLOCKED_INPUT	fig25	Scaled color is paired with raw and rate source values.
Fig26	promoter	results/10_promoter/Fig26_promoter_by_group_subfamily	results/10_promoter/promoter_heatmap_group_subfamily.tsv	pdf_md_complete	BLOCKED_INPUT	fig26	Small cells and motif hits are not inferential enrichment results.
Fig27	promoter	results/10_promoter/Fig27_promoter_by_species	results/10_promoter/promoter_heatmap_species.tsv	pdf_md_complete	BLOCKED_INPUT	fig27	Assembly, annotation and detectability can affect species patterns.
Fig28	promoter	results/10_promoter/Fig28_representative_gene_top_elements	results/10_promoter/representative_gene_element_matrix.tsv	pdf_md_complete	BLOCKED_INPUT	fig28	Top-N is a display filter, not an importance ranking.
Fig29	expression	results/11_expression/Fig29_all_family_expression_distribution	results/11_expression/expression_long.tsv	pdf_md_complete	BLOCKED_INPUT	fig29	Expression units and sample applicability must be explicit.
Fig30	expression	results/11_expression/Fig30_expression_by_pan_class	results/11_expression/expression_by_pan_class.tsv	pdf_md_complete	BLOCKED_INPUT	fig30	Cross-species absolute TPM is not directly compared.
Fig31	expression	results/11_expression/Fig31_expression_by_pan_class_tissue	results/11_expression/expression_by_pan_class_tissue.tsv	pdf_md_complete	BLOCKED_INPUT	fig31	Tissue mapping, species normalization and independent units are required.
Fig32	expression	results/11_expression/Fig32_expression_by_group_subfamily	results/11_expression/expression_by_group_subfamily.tsv	pdf_md_complete	BLOCKED_INPUT	fig32	A heatmap cannot replace a group-by-subfamily statistical model.
Fig33	expression	results/11_expression/Fig33_all_family_expression_heatmap	results/11_expression/expression_scaled.tsv	pdf_md_complete	BLOCKED_INPUT	fig33	Heatmap color is descriptive and not differential-expression evidence.
Fig34	expression	results/11_expression/Fig34_stress_expression_and_comparison	results/11_expression/deseq2_contrast_results.tsv	differential_expression.enabled	NOT_REQUESTED	fig34	Formal DE uses raw integer counts, registered contrasts and BH-FDR; TPM is excluded.
