dataset_id	sample_id	species_id	genotype	condition	biological_replicate	batch	stress_category	evidence_grade	accession	reference_version	file_verification_status
GSE101734	GSM2714232	Os_IRGSP1_release63	9311	Control	1	NOT_DECLARED	Abiotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP113286	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE101734	GSM2714233	Os_IRGSP1_release63	9311	Control	2	NOT_DECLARED	Abiotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP113286	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE101734	GSM2714234	Os_IRGSP1_release63	9311	Control	3	NOT_DECLARED	Abiotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP113286	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE101734	GSM2714235	Os_IRGSP1_release63	9311	Salt	1	NOT_DECLARED	Abiotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP113286	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE101734	GSM2714236	Os_IRGSP1_release63	9311	Salt	2	NOT_DECLARED	Abiotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP113286	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE101734	GSM2714237	Os_IRGSP1_release63	9311	Salt	3	NOT_DECLARED	Abiotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP113286	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE101734	GSM2714238	Os_IRGSP1_release63	9L136	Control	1	NOT_DECLARED	Abiotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP113286	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE101734	GSM2714239	Os_IRGSP1_release63	9L136	Control	2	NOT_DECLARED	Abiotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP113286	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE101734	GSM2714240	Os_IRGSP1_release63	9L136	Control	3	NOT_DECLARED	Abiotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP113286	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE101734	GSM2714241	Os_IRGSP1_release63	9L136	Salt	1	NOT_DECLARED	Abiotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP113286	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE101734	GSM2714242	Os_IRGSP1_release63	9L136	Salt	2	NOT_DECLARED	Abiotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP113286	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE101734	GSM2714243	Os_IRGSP1_release63	9L136	Salt	3	NOT_DECLARED	Abiotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP113286	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE81906	GSM2177576	Os_IRGSP1_release63	PB1	Mock	1	NOT_DECLARED	Biotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP075722	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE81906	GSM2177577	Os_IRGSP1_release63	PB1	Mock	2	NOT_DECLARED	Biotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP075722	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE81906	GSM2177578	Os_IRGSP1_release63	PB1	Mock	3	NOT_DECLARED	Biotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP075722	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE81906	GSM2177579	Os_IRGSP1_release63	PB1	Magnaporthe_oryzae	1	NOT_DECLARED	Biotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP075722	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE81906	GSM2177580	Os_IRGSP1_release63	PB1	Magnaporthe_oryzae	2	NOT_DECLARED	Biotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP075722	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE81906	GSM2177581	Os_IRGSP1_release63	PB1	Magnaporthe_oryzae	3	NOT_DECLARED	Biotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP075722	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
GSE81906	GSM2177582	Os_IRGSP1_release63	PB1_Pi9	Mock	1	NOT_DECLARED	Biotic	PUBLIC_RAW_READS_REQUANTIFIED	SRP075722	IRGSP-1.0_EnsemblPlants_release63	MD5_AND_BYTES_VERIFIED
