template_figure	template_requirement	equivalence_status	current_evidence	material_gap	related_coverage
Fig01	全部家族基因系统发育树	MATCHED_CORE	results/03_phylogeny/family_tree_tip_annotations.tsv	规范执行路径、源表与 PDF/PNG 合同已实现，clean toy 与原生工具链工程验收已通过；真实项目仍需自己的输入质量与生物学验收	4.2
Fig02	每个分支/亚家族拷贝数分布	MATCHED_CORE	results/02_family/family_copy_number_by_species_subfamily.tsv	规范执行路径、源表与 PDF/PNG 合同已实现，clean toy 与原生工具链工程验收已通过；真实项目仍需自己的输入质量与生物学验收	4.3
Fig03	代表材料与外部物种的多物种家族树	CONDITIONAL_MATCH	results/03_phylogeny/comparative_panel_selection.tsv	规范执行路径、源表与 PDF/PNG 合同已实现，clean toy 与原生工具链工程验收已通过；该可选路径默认关闭，真实项目仍需合规输入和项目级生物学验收	4.2
Fig04	亚家族 Ka、Ks、Ka/Ks 比较	MATCHED_CORE	results/09_kaks/kaks_by_subfamily.tsv	规范执行路径、源表与 PDF/PNG 合同已实现，clean toy 与原生工具链工程验收已通过；真实项目仍需自己的输入质量与生物学验收	9.6
Fig05	群体 Ka、Ks、Ka/Ks 比较	MATCHED_CORE	results/09_kaks/kaks_by_group.tsv	规范执行路径、源表与 PDF/PNG 合同已实现，clean toy 与原生工具链工程验收已通过；真实项目仍需自己的输入质量与生物学验收	9.7
Fig06	亚家族×群体 Ka、Ks、Ka/Ks 比较	MATCHED_CORE	results/09_kaks/kaks_by_subfamily_group.tsv	规范执行路径、源表与 PDF/PNG 合同已实现，clean toy 与原生工具链工程验收已通过；真实项目仍需自己的输入质量与生物学验收	9.8
Fig07	亚家族基因结构比较	MATCHED_CORE	results/04_gene_structure/gene_structure_by_subfamily.tsv	规范执行路径、源表与 PDF/PNG 合同已实现，clean toy 与原生工具链工程验收已通过；真实项目仍需自己的输入质量与生物学验收	5.1-5.3
Fig08	群体基因结构比较	MATCHED_CORE	results/04_gene_structure/gene_structure_by_group.tsv	规范执行路径、源表与 PDF/PNG 合同已实现，clean toy 与原生工具链工程验收已通过；真实项目仍需自己的输入质量与生物学验收	5.4-5.6
Fig09	核心结构域氨基酸序列 Logo	CONDITIONAL_MATCH	results/03_phylogeny/family_domain_segments.tsv	规范执行路径、源表与 PDF/PNG 合同已实现，clean toy 与原生工具链工程验收已通过；该可选路径默认关闭，真实项目仍需合规输入和项目级生物学验收	4.4
Fig10	以 OGG 和基因为双分母的泛基因类型饼图	MATCHED_CORE	results/06_pan_family/pan_family_class_summary.tsv	规范执行路径、源表与 PDF/PNG 合同已实现，clean toy 与原生工具链工程验收已通过；真实项目仍需自己的输入质量与生物学验收	6.4
